,title,link,views,date,thumbnail
120,Free Summer Offline Classes on Python Programing | For Students Aged 14-21 | GeeksforGeeks,/watch?v=OOLXHwZzHfM,107K views,9 months ago,https://i.ytimg.com/vi/mpIDwAT7m_0/hqdefault.jpg
121,Python Libraries | Data Science | GeeksforGeeks,/watch?v=nDa75spDmeE,2.3K views,9 months ago,https://i.ytimg.com/vi/mpIDwAT7m_0/hqdefault.jpg
122,ITR Filing Made Simple | Documents require to file ITR | GeeksforGeeks,/watch?v=SWa-tsbaIpg,976 views,9 months ago,https://i.ytimg.com/vi/mpIDwAT7m_0/hqdefault.jpg
123,Full Stack Development | LIVE Classes | GeeksforGeeks,/watch?v=cBfC9HLR9Qk,214K views,9 months ago,https://i.ytimg.com/vi/mpIDwAT7m_0/hqdefault.jpg
124,GeeksforGeeks Classroom Program in NCR,/watch?v=uEhnTpHY26o,2.5K views,9 months ago,https://i.ytimg.com/vi/mpIDwAT7m_0/hqdefault.jpg
125,WHAT IS ARRAY? | Array Data Structures | DSA Course | GeeksforGeeks,/watch?v=3_x_Fb31NLE,10K views,9 months ago,https://i.ytimg.com/vi/mpIDwAT7m_0/hqdefault.jpg
126,ARRAY PRACTICE PROBLEMS | Must do Array Questions | DSA Problems | GeeksforGeeks,/watch?v=J7EhXvnixRM,8.9K views,9 months ago,https://i.ytimg.com/vi/mpIDwAT7m_0/hqdefault.jpg
127,Gate 2024: Prepare for Success! | GATE CSE 2024 | GeeksforGeeks,/watch?v=G-3vZKPEtKw,62K views,9 months ago,https://i.ytimg.com/vi/mpIDwAT7m_0/hqdefault.jpg
128,Get Started with CP | Competitive Programming Tips | GeeksforGeeks,/watch?v=FCEj-mreXvI,3.1K views,10 months ago,https://i.ytimg.com/vi/mpIDwAT7m_0/hqdefault.jpg
129,React VS Angular VS Vue | GeeksforGeeks,/watch?v=sA2vgFR-fZc,17K views,10 months ago,https://i.ytimg.com/vi/mpIDwAT7m_0/hqdefault.jpg
130,GeeksforGeeks Classroom Program | Now in Noida and Gurugram!,/watch?v=16D2cuRy5JY,268K views,10 months ago,https://i.ytimg.com/vi/mpIDwAT7m_0/hqdefault.jpg
131,Transformers in NLP | GeeksforGeeks,/watch?v=-eqjV5dwb9Q,12K views,10 months ago,https://i.ytimg.com/vi/mpIDwAT7m_0/hqdefault.jpg
132,Jobs that AI can't replace | GeeksforGeeks,/watch?v=uY05MFnSMwU,4K views,10 months ago,https://i.ytimg.com/vi/mpIDwAT7m_0/hqdefault.jpg
133,Job Fair for Students | Till 25th May Only | GeeksforGeeks,/watch?v=1GEegOb3fHE,83K views,10 months ago,https://i.ytimg.com/vi/mpIDwAT7m_0/hqdefault.jpg
